AIM_OF_USE,RESOURCE_TYPE,OS_HOSTNAME,OS_IP_ADDRESS,VM_GUESTNAME,LOGICALY_HOSTED_ON,CHASSIS_NAME,CONSOLE_IP,CONSOLE_ACCESS_PROTOCOL,OS_TYPE,OS_TOTAL_CORE,OS_MEM_GB,OS_RELEASE,DR_HOSTNAME,INSTALL_DATE,OS_CLUSTER,CLUSTER_SW_INFO,CLUSTER_SW_VERSION,CLUSTER_SERVICE_IP,VF_SERVICE_DOMAIN,VF_SERVICE_NAME,VF_SERVICE_CLASS,VF_SERVICE_OWNER,OS_ADMIN,BIA_IN_SCOPE,ROW_ID,INSERT_DATE,MANAGED_BY_IT,MAXIMO_OWNER_GROUP,LIFECYCLE,COMMENTS
TEST,VIRTUAL,hknnzx11,172.31.70.64,hknnzx11,ENC_C7000_A,mp-vmf,172.31.60.85,hpvmconsole,HP-UX,2,12,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,1,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,htbcax11,172.31.70.63,htbcax11,ENC_C7000_A,mp-vmf,172.31.60.85,hpvmconsole,HP-UX,8,20,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,30,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,ytsqtd1 ,172.31.60.52,ytsqtd1 ,ENC_C7000_D,mp_vmr,172.31.70.237,hpvmconsole,HP-UX,2,8,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,31,,yes,RELEASEMNGMNT,,
TEST,PHYSICAL,vmf,172.31.60.85,NA,ENC_C7000_A,ENC_C7000_A,172.31.42.210,ssh,HP-UX,16,128,B.11.31,,,NA,NA,NA,NA,IT,Unix,BB,Murat Yildirim,Murat Cavli,No,41,,yes,IT-UNIX,,
TEST,PHYSICAL,vmh,172.31.70.195,NA,ENC_C7000_A,ENC_C7000_A,172.31.42.210,ssh,HP-UX,16,256,B.11.31,,,NA,NA,NA,NA,IT,Unix,BB,Murat Yildirim,Murat Cavli,No,43,,yes,IT-UNIX,,
TEST,VIRTUAL,ctbcai01,172.31.70.79,ctbcai01,ENC_C7000_C,mp_vmk,172.31.70.22,hpvmconsole,HP-UX,4,64,B.11.31,,1-Aug-14,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,47,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,ctbcai02,172.31.70.80,ctbcai02,ENC_C7000_C,mp_vmk,172.31.70.22,hpvmconsole,HP-UX,4,64,B.11.31,,1-Aug-14,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,48,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,cknnai01,172.31.70.82,cknnai01,ENC_C7000_D,mp_vms,172.31.70.238,hpvmconsole,HP-UX,2,8,B.11.31,,1-Aug-14,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,49,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,hknnzs01,172.31.70.143,hknnzs01,ENC_C7000_D,mp_vmr,172.31.70.237,hpvmconsole,HP-UX,4,20,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,51,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,cbudi01,172.31.70.125,cbudi01,mp-vmc,mp-vmh,172.31.70.195,hpvmconsole,HP-UX,10,40,B.11.31,,1-Aug-14,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,114,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,cdab1,172.31.60.38,cdab1,vmu6,mp-vmu6,172.31.60.201,hpvmconsole,HP-UX,2,12,B.11.31,,,NA,NO,NA,NA,IT,NA,Legacy,Ertun Ucyildiz,Murat Cavli,,280,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,cdad1,172.31.54.225,cdad1,ENC_C7000_D,mp_vmr,172.31.70.237,hpvmconsole,HP-UX,2,4,B.11.31,,,NA,NO,NA,NA,IT,NA,Legacy,Ertun Ucyildiz,Murat Cavli,,281,,yes,RELEASEMNGMNT,,
DR,VIRTUAL,iuxp1,172.31.35.222,NA,vmu5,mp-vmu5,172.31.60.200,hpvmconsole,HP-UX,6,64,B.11.31,,,NA,NO,NA,NA,IT,Unix,BP,Murat Yildirim,Murat Cavli,No,340,,yes,IT-UNIX,,
